/* DATA DESCRIPTION:
Citation:	Dallmayr, Remi; Freitag, Johannes; Hörhold, Maria; Laepple, Thomas; Wilhelms, Frank (2021): GPR profiles between B31, B32, and B33, terrestrial traverses 1999/2000 ; 2000/2001, Droning-Maud Land [dataset]. PANGAEA, https://doi.org/10.1594/PANGAEA.935129
Abstract:	Surface Mass Balance between location B31 and B33 (SMB, in kg/m2/yr) corresponding to interval between radar horizons (1-2), between Tambora (1817) and year of measurement (2000/2001). The conversion of IRH traveltime to depth was discribed in Rotschky et al. 2004, and Eisen et al. 2004.
Keyword(s):	accumulation rate in Dronning Maud Land; GPR; terrestrial traverse
Related to:	Dallmayr, Remi; Freitag, Johannes; Laepple, Thomas; Wilhelms, Frank; Jansen, Daniela; Behrens, Melanie K; Hörhold, Maria (2021): Topographic effect creates non-climatic variations in ice-core based temperature records of the last millennium. https://doi.org/10.1002/essoar.10508113.1
	Eisen, Olaf; Rack, Wolfgang; Nixdorf, Uwe; Wilhelms, Frank (2005): Characteristics of accumulation around the EPICA deep-drilling site in Dronning Maud Land, Antarctica. Annals of Glaciology, 41, 41-46, https://doi.org/10.3189/172756405781813276
	Rotschky, Gerit; Eisen, Olaf; Wilhelms, Frank; Nixdorf, Uwe; Oerter, Hans (2004): Spatial distribution of surface mass balance on Amundsenisen plateau, Antarctica, derived from ice-penetrating radar studies. Annals of Glaciology, 39, 265-270, https://doi.org/10.3189/172756404781814618
Project(s):	European Project for Ice Coring in Antarctica (EPICA) (URI: https://en.wikipedia.org/wiki/European_Project_for_Ice_Coring_in_Antarctica)
Funding:	Fifth Framework Programme (FP5), grant/award no. EVK2-CT-2000-00077: European Project for Ice Coring in Antarctica (URI: https://cordis.europa.eu/project/id/EVK2-CT-2000-00077)
	Fourth Framework Programme (FP4), grant/award no. ENV4980702: European Project for Ice Coring in Antarctica (URI: https://cordis.europa.eu/project/id/ENV4980702)
Coverage:	MEDIAN LATITUDE: -75.191115 * MEDIAN LONGITUDE: 1.472444 * SOUTH-BOUND LATITUDE: -75.581500 * WEST-BOUND LONGITUDE: -3.430333 * NORTH-BOUND LATITUDE: -74.968500 * EAST-BOUND LONGITUDE: 6.499999
	DATE/TIME START: 1999-12-01T00:00:00 * DATE/TIME END: 2001-01-31T00:00:00
Event(s):	ANT-Land_1999 (Transect 1999/2000 (B32 to B33)) * LATITUDE START: -75.002500 * LONGITUDE START: 0.007333 * LATITUDE END: -75.166667 * LONGITUDE END: 6.500000 * DATE/TIME START: 1999-12-01T00:00:00 * DATE/TIME END: 2000-01-31T00:00:00 * LOCATION: Antarctica * CAMPAIGN: EPICA_DML5 * BASIS: Kohnen Station (URI: https://doi.org/10.17815/jlsrf-2-152) * METHOD/DEVICE: Multiple investigations (MULT)
	ANT-Land_2000 (Transect 2000/2001 (B31 to B32)) * LATITUDE START: -75.002326 * LONGITUDE START: 0.007496 * LATITUDE END: -75.581732 * LONGITUDE END: -3.431095 * DATE/TIME START: 2000-12-01T00:00:00 * DATE/TIME END: 2001-01-31T00:00:00 * LOCATION: Antarctica * CAMPAIGN: EPICA_DML6 * BASIS: Kohnen Station (URI: https://doi.org/10.17815/jlsrf-2-152) * METHOD/DEVICE: Multiple investigations (MULT)
Parameter(s):	Event label (Event) * PI: Dallmayr, Remi (https://orcid.org/0000-0001-6059-0098, remi.dallmayr@awi.de)
	Distance [km] (Distance) * PI: Dallmayr, Remi (https://orcid.org/0000-0001-6059-0098, remi.dallmayr@awi.de)
	LONGITUDE (Longitude) * GEOCODE * PI: Dallmayr, Remi (https://orcid.org/0000-0001-6059-0098, remi.dallmayr@awi.de)
	LATITUDE (Latitude) * GEOCODE * PI: Dallmayr, Remi (https://orcid.org/0000-0001-6059-0098, remi.dallmayr@awi.de)
	Surface mass balance [kg/m**2/a] (SMB) * PI: Dallmayr, Remi (https://orcid.org/0000-0001-6059-0098, remi.dallmayr@awi.de) * COMMENT: corresponding to interval between radar horizons (1-2)
License:	Creative Commons Attribution 4.0 International (CC-BY-4.0) (URI: https://creativecommons.org/licenses/by/4.0/)
Status:	Curation Level: Enhanced curation (URI: https://wiki.pangaea.de/wiki/Curation_levels)
Size:	31822 data points
*/
Event	Distance [km]	Longitude	Latitude	SMB [kg/m**2/a]
ANT-Land_2000	0.773	-3.4073562	-75.5775781	63.41
ANT-Land_2000	0.785	-3.4070080	-75.5775187	63.44
ANT-Land_2000	0.796	-3.4066599	-75.5774593	63.48
ANT-Land_2000	0.808	-3.4063118	-75.5773998	63.51
ANT-Land_2000	0.820	-3.4059636	-75.5773404	63.54
ANT-Land_2000	0.832	-3.4056155	-75.5772810	63.57
ANT-Land_2000	0.843	-3.4052674	-75.5772216	63.60
ANT-Land_2000	0.855	-3.4049192	-75.5771621	63.64
ANT-Land_2000	0.867	-3.4045711	-75.5771027	63.67
ANT-Land_2000	0.878	-3.4042230	-75.5770433	63.70
ANT-Land_2000	0.890	-3.4038748	-75.5769839	63.74
ANT-Land_2000	0.902	-3.4035267	-75.5769244	63.77
ANT-Land_2000	0.914	-3.4031786	-75.5768650	63.79
ANT-Land_2000	0.925	-3.4028304	-75.5768056	63.82
ANT-Land_2000	0.937	-3.4024823	-75.5767462	63.84
ANT-Land_2000	0.949	-3.4021342	-75.5766867	63.87
ANT-Land_2000	0.960	-3.4017860	-75.5766273	63.90
ANT-Land_2000	0.972	-3.4014379	-75.5765679	63.93
ANT-Land_2000	0.984	-3.4010897	-75.5765085	63.97
ANT-Land_2000	0.996	-3.4007416	-75.5764490	64.00
ANT-Land_2000	1.007	-3.4003935	-75.5763896	64.03
ANT-Land_2000	1.019	-3.4000453	-75.5763302	64.06
ANT-Land_2000	1.031	-3.3996972	-75.5762708	64.10
ANT-Land_2000	1.042	-3.3993491	-75.5762114	64.08
ANT-Land_2000	1.054	-3.3990009	-75.5761519	64.07
ANT-Land_2000	1.066	-3.3986528	-75.5760925	64.05
ANT-Land_2000	1.078	-3.3983047	-75.5760331	64.04
ANT-Land_2000	1.089	-3.3979565	-75.5759737	64.02
ANT-Land_2000	1.101	-3.3976084	-75.5759142	64.01
ANT-Land_2000	1.113	-3.3972603	-75.5758548	63.99
ANT-Land_2000	1.124	-3.3969121	-75.5757954	63.98
ANT-Land_2000	1.136	-3.3965640	-75.5757360	63.96
ANT-Land_2000	1.148	-3.3962159	-75.5756765	63.95
ANT-Land_2000	1.160	-3.3958677	-75.5756171	63.93
ANT-Land_2000	1.171	-3.3955196	-75.5755577	63.91
ANT-Land_2000	1.183	-3.3951714	-75.5754983	63.90
ANT-Land_2000	1.195	-3.3948233	-75.5754389	63.89
ANT-Land_2000	1.206	-3.3944752	-75.5753794	63.87
ANT-Land_2000	1.218	-3.3941270	-75.5753200	63.86
ANT-Land_2000	1.230	-3.3937789	-75.5752606	63.85
ANT-Land_2000	1.242	-3.3934308	-75.5752012	63.83
ANT-Land_2000	1.253	-3.3930826	-75.5751417	63.82
ANT-Land_2000	1.265	-3.3927345	-75.5750823	63.81
ANT-Land_2000	1.277	-3.3923864	-75.5750229	63.80
ANT-Land_2000	1.288	-3.3920382	-75.5749635	63.79
ANT-Land_2000	1.300	-3.3916901	-75.5749041	63.78
ANT-Land_2000	1.312	-3.3913420	-75.5748446	63.77
ANT-Land_2000	1.324	-3.3909938	-75.5747852	63.75
ANT-Land_2000	1.335	-3.3906457	-75.5747258	63.74
ANT-Land_2000	1.347	-3.3902976	-75.5746664	63.72
ANT-Land_2000	1.359	-3.3899494	-75.5746069	63.71
ANT-Land_2000	1.370	-3.3896013	-75.5745475	63.69
ANT-Land_2000	1.382	-3.3892531	-75.5744881	63.68
ANT-Land_2000	1.394	-3.3889050	-75.5744287	63.66
ANT-Land_2000	1.406	-3.3885569	-75.5743692	63.65
ANT-Land_2000	1.417	-3.3882087	-75.5743098	63.63
ANT-Land_2000	1.429	-3.3878606	-75.5742504	63.62
ANT-Land_2000	1.441	-3.3875125	-75.5741910	63.60
ANT-Land_2000	1.452	-3.3871643	-75.5741316	63.59
ANT-Land_2000	1.464	-3.3868162	-75.5740721	63.57
ANT-Land_2000	1.476	-3.3864681	-75.5740127	63.56
ANT-Land_2000	1.488	-3.3861199	-75.5739533	63.54
ANT-Land_2000	1.499	-3.3857718	-75.5738939	63.53
ANT-Land_2000	1.511	-3.3854237	-75.5738344	63.51
ANT-Land_2000	1.523	-3.3850755	-75.5737750	63.50
ANT-Land_2000	1.534	-3.3847274	-75.5737156	63.48
ANT-Land_2000	1.546	-3.3843793	-75.5736562	63.47
ANT-Land_2000	1.558	-3.3840311	-75.5735967	63.45
ANT-Land_2000	1.570	-3.3836830	-75.5735373	63.44
ANT-Land_2000	1.581	-3.3833348	-75.5734779	63.43
ANT-Land_2000	1.593	-3.3829867	-75.5734185	63.41
ANT-Land_2000	1.605	-3.3826386	-75.5733590	63.35
ANT-Land_2000	1.616	-3.3822904	-75.5732996	63.29
ANT-Land_2000	1.628	-3.3819423	-75.5732402	63.23
ANT-Land_2000	1.640	-3.3815942	-75.5731808	63.17
ANT-Land_2000	1.652	-3.3812460	-75.5731214	63.11
ANT-Land_2000	1.663	-3.3808979	-75.5730619	63.05
ANT-Land_2000	1.675	-3.3805498	-75.5730025	62.99
ANT-Land_2000	1.687	-3.3802016	-75.5729431	62.93
ANT-Land_2000	1.698	-3.3798535	-75.5728837	62.87
ANT-Land_2000	1.710	-3.3795054	-75.5728242	62.81
ANT-Land_2000	1.722	-3.3791572	-75.5727648	62.75
ANT-Land_2000	1.734	-3.3788091	-75.5727054	62.69
ANT-Land_2000	1.745	-3.3784610	-75.5726460	62.63
ANT-Land_2000	1.757	-3.3781128	-75.5725865	62.57
ANT-Land_2000	1.769	-3.3777647	-75.5725271	62.51
ANT-Land_2000	1.780	-3.3774165	-75.5724677	62.45
ANT-Land_2000	1.792	-3.3770684	-75.5724083	62.39
ANT-Land_2000	1.804	-3.3767203	-75.5723489	62.33
ANT-Land_2000	1.816	-3.3763721	-75.5722894	62.27
ANT-Land_2000	1.827	-3.3760240	-75.5722300	62.21
ANT-Land_2000	1.839	-3.3756759	-75.5721706	62.15
ANT-Land_2000	1.851	-3.3753277	-75.5721112	62.09
ANT-Land_2000	1.862	-3.3749796	-75.5720517	62.03
ANT-Land_2000	1.874	-3.3746315	-75.5719923	61.98
ANT-Land_2000	1.886	-3.3742833	-75.5719329	61.92
ANT-Land_2000	1.898	-3.3739352	-75.5718735	61.86
ANT-Land_2000	1.909	-3.3735871	-75.5718141	61.80
ANT-Land_2000	1.921	-3.3732389	-75.5717546	61.74
ANT-Land_2000	1.933	-3.3728908	-75.5716952	61.68
ANT-Land_2000	1.944	-3.3725426	-75.5716358	61.62
ANT-Land_2000	1.956	-3.3721945	-75.5715764	61.56
ANT-Land_2000	1.968	-3.3718464	-75.5715169	61.50
ANT-Land_2000	1.980	-3.3714982	-75.5714575	61.44
ANT-Land_2000	1.991	-3.3711501	-75.5713981	61.38
ANT-Land_2000	2.003	-3.3708020	-75.5713387	61.32
ANT-Land_2000	2.015	-3.3704538	-75.5712792	61.26
ANT-Land_2000	2.026	-3.3701057	-75.5712198	61.20
ANT-Land_2000	2.038	-3.3697576	-75.5711604	61.13
ANT-Land_2000	2.050	-3.3694094	-75.5711010	61.07
ANT-Land_2000	2.062	-3.3690613	-75.5710416	61.01
ANT-Land_2000	2.073	-3.3687132	-75.5709821	60.95
ANT-Land_2000	2.085	-3.3683650	-75.5709227	60.90
ANT-Land_2000	2.097	-3.3680169	-75.5708633	60.84
ANT-Land_2000	2.108	-3.3676688	-75.5708039	60.78
ANT-Land_2000	2.120	-3.3673206	-75.5707444	60.72
ANT-Land_2000	2.132	-3.3669725	-75.5706850	60.66
ANT-Land_2000	2.144	-3.3666243	-75.5706256	60.60
ANT-Land_2000	2.155	-3.3662762	-75.5705662	60.55
ANT-Land_2000	2.167	-3.3659281	-75.5705067	60.48
ANT-Land_2000	2.179	-3.3655799	-75.5704473	60.43
ANT-Land_2000	2.190	-3.3652318	-75.5703879	60.37
ANT-Land_2000	2.202	-3.3648837	-75.5703285	60.31
ANT-Land_2000	2.214	-3.3645355	-75.5702690	60.25
ANT-Land_2000	2.226	-3.3641874	-75.5702096	60.19
ANT-Land_2000	2.237	-3.3638393	-75.5701502	60.14
ANT-Land_2000	2.249	-3.3634911	-75.5700908	60.08
ANT-Land_2000	2.261	-3.3631430	-75.5700313	60.02
ANT-Land_2000	2.272	-3.3627949	-75.5699719	59.96
ANT-Land_2000	2.284	-3.3624467	-75.5699125	59.90
ANT-Land_2000	2.296	-3.3620986	-75.5698531	59.79
ANT-Land_2000	2.308	-3.3617505	-75.5697937	59.68
ANT-Land_2000	2.319	-3.3614023	-75.5697342	59.56
ANT-Land_2000	2.331	-3.3610542	-75.5696748	59.45
ANT-Land_2000	2.343	-3.3607060	-75.5696154	59.34
ANT-Land_2000	2.354	-3.3603579	-75.5695560	59.23
ANT-Land_2000	2.366	-3.3600098	-75.5694965	59.12
ANT-Land_2000	2.378	-3.3596616	-75.5694371	59.01
ANT-Land_2000	2.389	-3.3593135	-75.5693777	58.90
ANT-Land_2000	2.401	-3.3589654	-75.5693183	58.79
ANT-Land_2000	2.413	-3.3586172	-75.5692588	58.68
ANT-Land_2000	2.425	-3.3582691	-75.5691994	58.56
ANT-Land_2000	2.436	-3.3579210	-75.5691400	58.46
ANT-Land_2000	2.448	-3.3575728	-75.5690806	58.34
ANT-Land_2000	2.460	-3.3572247	-75.5690212	58.23
ANT-Land_2000	2.471	-3.3568766	-75.5689617	58.13
ANT-Land_2000	2.483	-3.3565284	-75.5689023	58.02
ANT-Land_2000	2.495	-3.3561803	-75.5688429	57.91
ANT-Land_2000	2.507	-3.3558322	-75.5687835	57.80
ANT-Land_2000	2.518	-3.3554840	-75.5687240	57.68
ANT-Land_2000	2.530	-3.3551359	-75.5686646	57.57
ANT-Land_2000	2.542	-3.3547877	-75.5686052	57.46
ANT-Land_2000	2.553	-3.3544396	-75.5685458	57.35
ANT-Land_2000	2.565	-3.3540915	-75.5684864	57.24
ANT-Land_2000	2.577	-3.3537433	-75.5684269	57.13
ANT-Land_2000	2.589	-3.3533952	-75.5683675	57.02
ANT-Land_2000	2.600	-3.3530471	-75.5683081	56.91
ANT-Land_2000	2.612	-3.3526989	-75.5682487	56.80
ANT-Land_2000	2.624	-3.3523508	-75.5681892	56.69
ANT-Land_2000	2.635	-3.3520027	-75.5681298	56.58
ANT-Land_2000	2.647	-3.3516545	-75.5680704	56.47
ANT-Land_2000	2.659	-3.3513064	-75.5680110	56.36
ANT-Land_2000	2.671	-3.3509583	-75.5679515	56.25
ANT-Land_2000	2.682	-3.3506101	-75.5678921	56.14
ANT-Land_2000	2.694	-3.3502620	-75.5678327	56.03
ANT-Land_2000	2.706	-3.3499139	-75.5677733	55.92
ANT-Land_2000	2.717	-3.3495657	-75.5677139	55.81
ANT-Land_2000	2.729	-3.3492176	-75.5676544	55.69
ANT-Land_2000	2.741	-3.3488694	-75.5675950	55.58
ANT-Land_2000	2.753	-3.3485213	-75.5675356	55.47
ANT-Land_2000	2.764	-3.3481732	-75.5674762	55.36
ANT-Land_2000	2.776	-3.3478250	-75.5674167	55.25
ANT-Land_2000	2.788	-3.3474769	-75.5673573	55.14
ANT-Land_2000	2.799	-3.3471288	-75.5672979	55.03
ANT-Land_2000	2.811	-3.3467806	-75.5672385	54.91
ANT-Land_2000	2.823	-3.3464325	-75.5671790	54.80
ANT-Land_2000	2.835	-3.3460844	-75.5671196	54.69
ANT-Land_2000	2.846	-3.3457362	-75.5670602	54.58
ANT-Land_2000	2.858	-3.3453881	-75.5670008	54.46
ANT-Land_2000	2.870	-3.3450400	-75.5669413	54.35
ANT-Land_2000	2.881	-3.3446918	-75.5668819	54.23
ANT-Land_2000	2.893	-3.3443437	-75.5668225	54.12
ANT-Land_2000	2.905	-3.3439955	-75.5667631	54.01
ANT-Land_2000	2.917	-3.3436474	-75.5667037	53.89
ANT-Land_2000	2.928	-3.3432993	-75.5666442	53.78
ANT-Land_2000	2.940	-3.3429511	-75.5665848	53.67
ANT-Land_2000	2.952	-3.3426030	-75.5665254	53.56
ANT-Land_2000	2.963	-3.3422549	-75.5664660	53.45
ANT-Land_2000	2.975	-3.3419067	-75.5664065	53.34
ANT-Land_2000	2.987	-3.3415586	-75.5663471	53.23
ANT-Land_2000	2.999	-3.3412105	-75.5662877	53.12
ANT-Land_2000	3.010	-3.3408623	-75.5662283	53.01
ANT-Land_2000	3.022	-3.3405142	-75.5661688	52.90
ANT-Land_2000	3.034	-3.3401661	-75.5661094	52.80
ANT-Land_2000	3.045	-3.3398179	-75.5660500	52.69
ANT-Land_2000	3.057	-3.3394698	-75.5659906	52.58
ANT-Land_2000	3.069	-3.3391217	-75.5659312	52.47
ANT-Land_2000	3.081	-3.3387735	-75.5658717	52.36
ANT-Land_2000	3.092	-3.3384254	-75.5658123	52.25
ANT-Land_2000	3.104	-3.3380772	-75.5657529	52.14
ANT-Land_2000	3.116	-3.3377291	-75.5656935	52.02
ANT-Land_2000	3.127	-3.3373810	-75.5656340	51.91
ANT-Land_2000	3.139	-3.3370328	-75.5655746	51.80
ANT-Land_2000	3.151	-3.3366847	-75.5655152	51.69
ANT-Land_2000	3.163	-3.3363366	-75.5654558	51.59
ANT-Land_2000	3.174	-3.3359884	-75.5653964	51.49
ANT-Land_2000	3.186	-3.3356403	-75.5653369	51.40
ANT-Land_2000	3.198	-3.3352922	-75.5652775	51.30
ANT-Land_2000	3.209	-3.3349440	-75.5652181	51.20
ANT-Land_2000	3.221	-3.3345959	-75.5651587	51.11
ANT-Land_2000	3.233	-3.3342478	-75.5650992	51.01
ANT-Land_2000	3.245	-3.3338996	-75.5650398	50.91
ANT-Land_2000	3.256	-3.3335515	-75.5649804	50.81
ANT-Land_2000	3.268	-3.3332034	-75.5649210	50.71
ANT-Land_2000	3.280	-3.3328552	-75.5648615	50.61
ANT-Land_2000	3.291	-3.3325071	-75.5648021	50.51
ANT-Land_2000	3.303	-3.3321589	-75.5647427	50.42
ANT-Land_2000	3.315	-3.3318108	-75.5646833	50.32
ANT-Land_2000	3.327	-3.3314627	-75.5646239	50.22
ANT-Land_2000	3.338	-3.3311145	-75.5645644	50.12
ANT-Land_2000	3.350	-3.3307664	-75.5645050	50.02
ANT-Land_2000	3.362	-3.3304183	-75.5644456	49.93
ANT-Land_2000	3.373	-3.3300701	-75.5643862	49.83
ANT-Land_2000	3.385	-3.3297220	-75.5643267	49.73
ANT-Land_2000	3.397	-3.3293739	-75.5642673	49.63
ANT-Land_2000	3.409	-3.3290257	-75.5642079	49.54
ANT-Land_2000	3.420	-3.3286776	-75.5641485	49.44
ANT-Land_2000	3.432	-3.3283295	-75.5640890	49.34
ANT-Land_2000	3.444	-3.3279813	-75.5640296	49.25
ANT-Land_2000	3.455	-3.3276332	-75.5639702	49.15
ANT-Land_2000	3.467	-3.3272851	-75.5639108	49.05
ANT-Land_2000	3.479	-3.3269369	-75.5638513	48.95
ANT-Land_2000	3.491	-3.3265888	-75.5637919	48.86
ANT-Land_2000	3.502	-3.3262406	-75.5637325	48.76
ANT-Land_2000	3.514	-3.3258925	-75.5636731	48.67
ANT-Land_2000	3.526	-3.3255444	-75.5636136	48.57
ANT-Land_2000	3.537	-3.3251962	-75.5635542	48.47
